,house_id,neighborhood,estimate_year,p_use_type,superficie_feet,superficie_metres,nb_bedrooms,nb_bathrooms,nb_rooms,land_value,land_base_year,imp_value,imp_base_year,total_value,square_feet_price,square_metres_price,lat,lon,is_to_sell
52767,4085025004,Torrance,2021,Single-Family Residence,1114,103.49,3,2,7,561760,2020,140440,2020,702200,630.34,6785.2,33.8701658,-118.35162026,True
53121,4102010051,Ladera Heights,2021,Single-Family Residence,3407,316.52,5,4,11,1408300,2021,406700,2021,1815000,532.73,5734.23,33.9791553,-118.3797006,True
60515,4270016076,Santa Monica,2021,Single-Family Residence,1445,134.24,3,3,8,1414504,2020,422330,2020,1836834,1271.17,13683.21,34.0217498,-118.45585417,True
66819,4441003016,Topanga,2021,Single-Family Residence,3305,307.04,3,3,8,955800,2020,938624,2020,1894424,573.2,6169.96,34.11594709,-118.58236508,True
68532,5012025002,View Park-Windsor Hills,2021,Single-Family Residence,3072,285.4,4,4,10,800000,2021,460000,2021,1260000,410.16,4414.86,33.99770661,-118.34126248,True
99587,6077006036,Westmont,2021,Single-Family Residence,1530,142.14,3,2,7,464765,2020,146502,2020,611267,399.52,4300.46,33.93650831,-118.30504608,True
100067,6105002048,Gardena,2021,Single-Family Residence,2208,205.13,5,3,10,531800,2021,228200,2021,760000,344.2,3704.97,33.88127965,-118.30836599,True
102972,6204021009,South Gate,2021,Single-Family Residence,849,78.87,2,1,5,378885,2020,94973,2020,473858,558.14,6008.09,33.95656808,-118.22211651,True
118292,7320003017,Carson,2021,Single-Family Residence,1392,129.32,3,2,7,406164,2020,150477,2020,556641,399.89,4304.37,33.85746031,-118.24018066,True
120575,7407008013,West Carson,2021,Single-Family Residence,968,89.93,3,1,6,353626,2020,166911,2020,520537,537.74,5788.25,33.8176195,-118.29071258,True
125092,7558005020,Rancho Palos Verdes,2021,Single-Family Residence,2393,222.32,4,2,8,910435,2020,236323,2020,1146758,479.21,5158.14,33.74052882,-118.33349622,True
125728,7578014015,Rancho Palos Verdes,2021,Single-Family Residence,1556,144.56,4,2,8,1128000,2021,282000,2021,1410000,906.17,9753.74,33.78223386,-118.38370327,True
160143,2173009024,Topanga,2022,Single-Family Residence,2397,222.69,4,2,8,408000,2021,688500,2021,1096500,457.45,4923.89,34.14315452,-118.60100048,True
237781,4037011022,Lennox,2022,Single-Family Residence,920,85.47,2,1,5,244446,2021,146362,2021,390808,424.79,4572.46,33.93767322,-118.35516092,True
237836,4038020004,Lennox,2022,Single-Family Residence,1552,144.18,5,2,9,624400,2022,170600,2022,795000,512.24,5513.94,33.94210969,-118.36214225,True
248021,4201004030,Ladera Heights,2022,Single-Family Residence,2029,188.5,3,3,8,721397,2020,309170,2020,1030567,507.92,5467.2,33.98935931,-118.37030796,True
248456,4207027017,Culver City,2022,Single-Family Residence,918,85.28,2,2,6,906898,2020,226724,2020,1133622,1234.88,13292.94,34.01310735,-118.39268104,True
256254,4285019022,Santa Monica,2022,Single-Family Residence,1170,108.7,2,2,6,1485528,2021,371382,2021,1856910,1587.1,17082.89,34.00897199,-118.4620042,True
260944,4333005001,Beverly Hills,2022,Single-Family Residence,1825,169.55,3,2,7,2200000,2022,550000,2022,2750000,1506.85,16219.4,34.0620424,-118.38590479,True
261050,4333025037,Beverly Hills,2022,Single-Family Residence,3059,284.19,4,4,10,2267247,2020,566811,2020,2834058,926.47,9972.41,34.06419182,-118.37861613,True
283923,5241029036,Commerce,2022,Single-Family Residence,1678,155.89,4,3,9,400000,2022,208000,2022,608000,362.34,3900.19,34.01432437,-118.1735327,True
287907,5311011044,South Pasadena,2022,Single-Family Residence,2490,231.33,2,2,6,1612000,2022,403000,2022,2015000,809.24,8710.5,34.10778135,-118.16816434,True
288390,5320007017,South Pasadena,2022,Single-Family Residence,2209,205.22,2,3,7,1354050,2021,481950,2021,1836000,831.15,8946.5,34.10744144,-118.14929053,True
290574,5359030006,Alhambra,2022,Single-Family Residence,1697,157.66,4,3,9,750720,2021,187680,2021,938400,552.98,5952.05,34.07337346,-118.11655235,True
327785,6114024004,Gardena,2022,Single-Family Residence,1670,155.15,3,2,7,546000,2022,160000,2022,706000,422.75,4550.44,33.8958864,-118.29457189,True
328315,6126018009,Carson,2022,Single-Family Residence,1709,158.77,4,2,8,502248,2021,135252,2021,637500,373.03,4015.24,33.87501427,-118.27167076,True
329943,6154028035,Willowbrook,2022,Single-Family Residence,1466,136.19,4,2,8,285600,2021,193800,2021,479400,327.01,3520.08,33.91553158,-118.22449637,True
371630,7557012006,Rancho Palos Verdes,2022,Single-Family Residence,1080,100.33,2,1,5,709920,2021,177480,2021,887400,821.67,8844.81,33.7521046,-118.31712856,True
418476,2069098003,Calabasas,2023,Single-Family Residence,4851,450.67,5,6,13,1104904,2021,1657357,2021,2762261,569.42,6129.23,34.1386594,-118.68258307,True
