neighborhood,geometry,crime_gravity
Adams-Normandie,"POLYGON ((-118.309008 34.037411, -118.291508 34.036812, -118.291408 34.025512, -118.309008 34.025612, -118.309008 34.037411))",88.96845637583893
Alhambra,"POLYGON ((-118.121747 34.10504, -118.116866 34.107322, -118.112933 34.10173, -118.112707 34.093873, -118.108399 34.095598, -118.109401 34.069841, -118.135707 34.069741, -118.135502 34.062457, -118.144632 34.059932, -118.164835 34.062283, -118.160496 34.075131, -118.160673 34.093741, -118.15529 34.098672, -118.141783 34.098682, -118.141831 34.103972, -118.134694 34.10392, -118.135296 34.10645, -118.127935 34.111146, -118.121747 34.10504))",88.75268817204301
Arleta,"POLYGON ((-118.422015 34.224103, -118.422815 34.221703, -118.427815 34.221703, -118.451816 34.251702, -118.4423 34.264497, -118.409699 34.233395, -118.422015 34.224103))",89.5827850877193
Arlington Heights,"POLYGON ((-118.315909 34.052611, -118.313409 34.052711, -118.313408 34.037511, -118.333809 34.035011, -118.323009 34.05481, -118.315909 34.052611))",88.43305983590155
Atwater Village,"POLYGON ((-118.278325 34.153007, -118.275613 34.153261, -118.260356 34.124827, -118.246007 34.112109, -118.249107 34.108609, -118.258808 34.109009, -118.265708 34.113909, -118.273308 34.128908, -118.278325 34.153007))",88.35011618900077
Baldwin Hills/Crenshaw,"POLYGON ((-118.356261 34.024836, -118.335109 34.022712, -118.335009 34.008312, -118.341903 34.004572, -118.351201 34.004626, -118.357805 33.997145, -118.357543 34.009145, -118.365027 34.005555, -118.367173 34.007088, -118.366719 34.015622, -118.372649 34.015839, -118.373093 34.011913, -118.372627 34.018471, -118.377973 34.018018, -118.380483 34.020836, -118.376548 34.026796, -118.356261 34.024836))",85.70858637765113
Bel-Air,"POLYGON ((-118.469015 34.129506, -118.458514 34.129306, -118.459414 34.126706, -118.455614 34.124307, -118.456814 34.109207, -118.452614 34.104807, -118.451014 34.106007, -118.447013 34.099707, -118.442313 34.098408, -118.436513 34.088108, -118.435313 34.080608, -118.444013 34.077008, -118.445313 34.073708, -118.453913 34.076908, -118.465995 34.073223, -118.47456 34.083858, -118.482018 34.117837, -118.471615 34.130906, -118.469015 34.129506))",93.23345935727788
Beverly Crest,"POLYGON ((-118.453214 34.131806, -118.443414 34.130006, -118.431113 34.132007, -118.415613 34.126207, -118.414213 34.129007, -118.406913 34.128907, -118.397412 34.119107, -118.387612 34.123407, -118.386912 34.121807, -118.392112 34.120407, -118.388812 34.118707, -118.391712 34.117007, -118.39158 34.112426, -118.400073 34.110935, -118.400888 34.093994, -118.40532 34.0963, -118.40541 34.101461, -118.40826 34.101502, -118.411883 34.092244, -118.413934 34.094268, -118.42274 34.094315, -118.422689 34.090561, -118.427041 34.090631, -118.426962 34.083044, -118.422778 34.083093, -118.422647 34.080009, -118.429012 34.079108, -118.434813 34.082408, -118.442313 34.098408, -118.447013 34.099707, -118.451014 34.106007, -118.452614 34.104807, -118.456814 34.109207, -118.455614 34.124307, -118.459414 34.126706, -118.459614 34.130406, -118.453214 34.131806))",93.13568281938326
Beverly Grove,"POLYGON ((-118.372486 34.085755, -118.36643 34.087139, -118.366443 34.088924, -118.361716 34.087201, -118.36151 34.06301, -118.372231 34.064201, -118.375864 34.070299, -118.383728 34.069684, -118.383764 34.072122, -118.390704 34.072083, -118.390718 34.076501, -118.377192 34.076479, -118.37525 34.082011, -118.370294 34.080169, -118.370302 34.083157, -118.377033 34.08304, -118.376951 34.08863, -118.372498 34.090256, -118.372486 34.085755))",83.24700102821889
Beverly Hills,"POLYGON ((-118.39114 34.112423, -118.392081 34.099794, -118.396504 34.095066, -118.395728 34.090586, -118.389755 34.088495, -118.390704 34.072083, -118.383764 34.072122, -118.383728 34.069684, -118.375864 34.070299, -118.372244 34.0622, -118.377266 34.059384, -118.37733 34.062954, -118.383534 34.062937, -118.383666 34.057099, -118.405922 34.057104, -118.406023 34.052666, -118.418462 34.072361, -118.423289 34.075689, -118.422778 34.083093, -118.426962 34.083044, -118.427041 34.090631, -118.422689 34.090561, -118.42274 34.094315, -118.413934 34.094268, -118.411883 34.092244, -118.40826 34.101502, -118.40541 34.101461, -118.40532 34.0963, -118.400888 34.093994, -118.400073 34.110935, -118.39114 34.112423))",86.28571428571429
